1;France
2;2i Rete Gas SpA
3;3i Group PLC
4;A2A SpA
5;ABB Ltd
6;Abertis Infraestructuras SA
7;ABN AMRO Bank NV
8;Accor SA
9;ACEA SpA
10;Achmea BV
11;Adecco Group AG
12;Aegon NV
13;Aeroports de Paris
14;Agence Francaise de Dvlp
15;Agence France Locale
16;Air Liquide SA
17;Air Products & Chemicals Inc
18;Airbus SE
19;Aktia Bank OYJ
20;Akzo Nobel NV
21;ALD SA
22;Allemagne
23;Alliander NV
24;Allianz SE
25;Alstom SA
26;Amadeus IT Group SA
27;Amcor Ltd/Australia
28;America Movil SAB de CV
29;American Honda Finance Corp
30;American International Group I
31;Amgen Inc
32;Anglo American PLC
33;Anheuser-Busch InBev SA/NV
34;AP Moller - Maersk A/S
35;Apple Inc
36;Areva SA
37;Arkema SA
38;Assicurazioni Generali SpA
39;AT&T Inc
40;Atlantia SpA
41;Atlas Copco AB
42;Auchan Holding SA
43;Australia & New Zealand Bankin
44;Autoroutes du Sud de la France
45;Autostrade per l'Italia SpA
46;Autriche
47;Aviva PLC
48;AXA SA
49;Banca Monte dei Paschi di Sien
50;Banco Bilbao Vizcaya Argentari
51;Banco do Brasil SA
52;Banco Santander SA
53;Banco Santander Totta SA
54;Bank of America Corp
55;Bank of Ireland Group PLC
56;Bank of New Zealand
57;Bankinter SA
58;Banque Federative du Credit Mu
59;Banque PSA Finance SA
60;Baoshan Iron & Steel Co Ltd
61;Barclays PLC
62;BASF SE
63;BAT International Finance PLC
64;Bayer AG
65;Bayerische Landesbank
66;Bayerische Motoren Werke AG
67;BBVA Senior Finance SAU
68;Belfius Bank SA/NV
69;Belgique
70;Berlin Hyp AG
71;Bertelsmann SE & Co KGaA
72;BFA Sociedad Tenedora de Acciones SAU 
73;Bharti Airtel Ltd
74;BHP Billiton Ltd
75;BHW Bausparkasse AG
76;Bilfinger SE
77;BMW Finance NV
78;BNP Paribas
79;BOS Finance
80;Bouygues SA
81;BP PLC
82;BPCE SA
83;Brambles Ltd
84;Brenntag AG
85;BRFkredit A/S
86;Brisa Concessao Rodoviaria SA
87;Bristol-Myers Squibb Co
88;British Telecommunications PLC
89;Bureau Veritas SA
90;Caisse d'Amortissement de la D
91;CaixaBank SA
92;Cap Gemini SA
93;Cargill Inc
94;Carlsberg Breweries A/S
95;Carrefour SA
96;Casino Guichard Perrachon SA
97;Ceske Drahy AS
98;CEZ AS
99;China Construction Bank Asia C
100;China State Shipbuilding Corp
101;Cie Financiere et Industrielle
102;Citigroup Inc
103;CK Hutchison Holdings Ltd
104;CNP Assurances
105;Coca-Cola European Partners PL
106;Coca-Cola HBC AG
107;Commerzbank AG
108;Commonwealth Bank of Australia
109;Compagnie de Saint-Gobain
110;Compagnie Generale des Etablis
111;Compass Group PLC
112;Continental AG
113;Cooperatieve Rabobank UA
114;Coventry Building Society
115;Credit Agricole S.A.
116;Credit Immobilier de France De
117;Credit Logement SA
118;Credit Mutuel Arkea SA
119;Credit Suisse AG
120;CRH PLC
121;Criteria Caixa SA
122;daa plc
123;Daimler AG
124;Danone
125;Danske Bank A/S
126;de Volksbank NV
127;DekaBank Deutsche Girozentrale
128;Delta Lloyd NV
129;Deutsche Bahn Finance GMBH
130;Deutsche Bank AG
131;Deutsche Boerse AG
132;Deutsche Pfandbriefbank AG
133;Deutsche Post AG
134;Deutsche Telekom AG
135;Development Bank of Japan Inc
136;Diageo PLC
137;Distribuidora Internacional de
138;DNB Bank ASA
139;DVB Bank SE
140;DZ Bank AG Deutsche Zentral-Ge
141;E.ON SE
142;Edenred
143;EDF SA
144;Edison SpA
145;EDP Finance BV
146;EE Ltd
147;Eesti Energia AS
148;Elia System Operator SA/NV
149;Elisa OYJ
150;Enagas SA
151;EnBW Energie Baden-Wuerttember
152;Enel SpA
153;Engie SA
154;Eni SpA
155;EP Energy AS
156;Erste Group Bank AG
157;ERVIA
158;ESB
159;Espagne
160;European Union
161;Eutelsat Communications
162;EWE AG
163;EXOR NV
164;Experian PLC
165;F van Lanschot Bankiers NV
166;FCA Bank SpA
167;FCE Bank PLC
168;Ferrovial SA
169;Fidelity International
170;Fonciere Des Regions
171;Fortum OYJ
172;G4S PLC
173;Gas Natural SDG SA
174;Gazprom PJSC
175;GEA Group AG
176;Gecina SA
177;General Electric Co
178;Gerresheimer AG
179;GlaxoSmithKline Capital PLC
180;Glencore PLC
181;Goldman Sachs Group Inc/The
182;Goodman European Logistics Fund
183;Groupama SA
184;Groupement des CH/CHR
185;Hammerson PLC
186;Havas SA
187;Heathrow SP Ltd
188;Heineken NV
189;Hella GmbH & Co KGaA
190;Hera SpA
191;Hollande
192;HSBC
193;HSH Nordbank AG
194;Iberdrola SA
195;ICADE
196;Iliad SA
197;Imerys SA
198;Imperial Brands Finance PLC
199;ING
200;innogy Finance BV
201;International Business Machine
202;Intesa Sanpaolo SpA
203;Investor AB
204;ISS A/S
205;Italie
206;JCDecaux SA
207;John Deere Capital Corp
208;Johnson & Johnson
209;JPMorgan Chase & Co
210;K+S AG
211;KBC
212;Kering
213;Klepierre SA
214;Koninklijke Ahold Delhaize NV
215;Koninklijke DSM NV
216;Koninklijke KPN NV
217;Korea Gas Corp
218;Kreditanstalt fuer Wiederaufba
219;Kutxabank SA
220;La Banque Postale SA
221;La Poste SA
222;Landal Worldwide Corp
223;Landesbank Berlin AG
224;Landesbank Hessen-Thueringen G
225;LANXESS AG
226;LeasePlan Corp NV
227;Legrand SA
228;Linde Finance BV
229;Lloyds Bank PLC
230;Louis Dreyfus Co BV
231;Luxottica Group SpA
232;MACIF
233;Macif
234;Macquarie Bank Ltd
235;Madrilena Red de Gas Finance B
236;MAN SE
237;ManpowerGroup Inc
238;Materion
239;mBank SA
240;McDonald's Corp
241;Mediobanca SpA
242;Mercialys SA
243;Merck KGaA
244;METRO AG
245;Metropolitan Life Insurance Co
246;Metso OYJ
247;Mitsubishi UFJ Financial Group
248;Moet Hennessy Louis Vuitton SA
249;Mondelez International Inc
250;Mondi PLC
251;Morgan Stanley
252;Motability Operations Group PL
253;MTU Aero Engines AG
254;Muenchener Rueckversicherungs-
255;National Australia Bank Ltd
256;National Grid PLC
257;Nationwide Building Society
258;Natixis
259;Nederlandse Gasunie NV
260;Nestle SA
261;New York Life Insurance Co
262;NEX Group PLC
263;NIBC Bank NV
264;NN Group NV
265;Nomura Holdings Inc
266;Norddeutsche Landesbank Giroze
267;Nordea Bank AB
268;Novartis AG
269;Oi SA
270;OMV AG
271;OP Corporate Bank plc
272;Orange SA
273;Origin Energy Ltd
274;Orsted A/S
275;Pernod-Ricard SA
276;Petrobras International Braspe
277;Petrol DD Ljubljana
278;Petroleos Mexicanos
279;Pfizer Inc
280;PGE Polska Grupa Energetyczna
281;Philip Morris International In
282;Plastic Omnium SA
283;Polskie Gornictwo Naftowe i Ga
284;Portugal
285;Poste Italiane SpA
286;Poste Vita SpA
287;PostNL NV
288;Powszechna Kasa Oszczednosci B
289;Powszechny Zaklad Ubezpieczen
290;Principal Financial Group Inc
291;Procter & Gamble Co/The
292;Prologis LP
293;Prosegur Cia de Seguridad SA
294;Proximus SADP
295;Raiffeisen Bank International
296;Raiffeisenlandesbank Niederoes
297;RCI Banque SA
298;Red Electrica Corp SA
299;REN - Redes Energeticas Nacion
300;Rentokil Initial PLC
301;Repsol SA
302;Robert Bosch GmbH
303;Roche Holding AG
304;Royal Bank of Scotland Group P
305;Royal Bank of Scotland PLC/The
306;Royal Dutch Shell PLC
307;RTE Reseau de Transport d'Elec
308;RWE AG
309;SABMiller
310;Sampo Oyj
311;Sanofi-Aventis SA
312;Santos Ltd
313;SBAB Bank AB
314;Scania CV AB
315;Schlumberger Ltd
316;Schneider Electric SE
317;SCOR SE
318;Securitas AB
319;SES SA
320;Severn Trent Utilities Finance
321;SFIL SA
322;Siemens Financieringsmaatschap
323;Skandinaviska Enskilda Banken
324;SKF AB
325;Smiths Group PLC
326;Snam SpA
327;SNCF Reseau
328;Societe des Autoroutes Paris-R
329;Societe Fonciere Lyonnaise SA
330;Societe Generale
331;Solvay SA
332;SpareBank 1 SMN
333;SpareBank 1 SR-Bank ASA
334;SSE PLC
335;Standard Chartered PLC
336;Statkraft AS
337;Suedzucker AG
338;Suez Environnement Co
339;Svenska Cellulosa AB SCA
340;Svenska Handelsbanken AB
341;Swedbank AB
342;Swedish Match AB
343;Swiss Life Holding AG
344;Swiss Re AG
345;Sydbank A/S
346;TDC A/S
347;Telecom Italia SpA/Milano
348;Telefonaktiebolaget LM Ericsso
349;Telefonica Deutschland Holding
350;Telefonica SA
351;Telekom Austria AG
352;Telenor ASA
353;Telia Co AB
354;Telstra Corp Ltd
355;TenneT Holding BV
356;Teollisuuden Voima Oyj
357;Terna Rete Elettrica Nazionale
358;Teva Pharmaceutical Industries
359;Thales SA
360;Total SA
361;Toyota Motor Credit Corp
362;Turkiye Garanti Bankasi AS
363;Turkiye Vakiflar Bankasi TAO
364;UBS AG
365;Unibail-Rodamco SE
366;UniCredit SpA
367;Unicredit SpA
368;Unione di Banche Italiane SpA
369;United Utilities Water Ltd
370;URENCO Ltd
371;Vale SA
372;Valeo SA
373;Vallourec SA
374;Vattenfall AB
375;Veolia Environnement SA
376;Verbund AG
377;Vesteda Finance BV
378;Vienna Insurance Group AG Wien
379;Vinci SA
380;Vivendi SA
381;Vodafone Group PLC
382;VOITH GMBH
383;Volkswagen
384;Volvo Treasury AB
385;Vonovia Finance BV
386;Votorantim Cimentos SA
387;Wells Fargo & Co
388;Wendel
389;Westpac Banking Corp
390;Whirlpool Corp
391;WL BANK AG Westfaelische Lands
392;Wolters Kluwer NV
393;WPP PLC
394;Wurth Finance International BV
395;Yorkshire Building Society
396;Zapadoslovenska Energetika AS
397;Zurich Insurance Group AG
