ISIN;PAYS_RISQUE;CATEG_ISSUER;RATING;NIV_SENIORITE;ISSUER;NIV_SUBORDINATION;CATEGORIE_1;CATEGORIE_2;CATEGORIE_3;MATURITE;MATURITE_CALL;NAME;CPN;FRQ;ISSUER_DATE;INDICE;DATE_ACHAT;YIELD_ACHAT;SUB_DATE_RBST;SUBORD;BASE_INDICE;FLOATER;MONETAIRE
A10065;;;;;;;poche_obligations;poche_fct;poche_fct;;;;;;;;;;;;;0;0
FR0012938116;France;poche_obligation;3;;FRANCE (GOVT OF);NS;poche_obligations;Obligations_govies;Obligations_govies_nominales;25/11/2025;26/02/2021;FRTR 1 11/25/25;1;1;25/11/2014;;26/10/2015;0.846000016;26/02/2021;;;0;0
LU0582530498;;;;;;;OPCVM_hors_europe;OPCVM_asie_emergents;OPCVM_Asie;;;;;;;;;;;;;0;0
DE0001102358;Allemagne;poche_obligation;1;0;BUNDESREPUB. DEUTSCHLAND;NS;poche_obligations;Obligations_govies;Obligations_govies_nominales;15/05/2024;26/02/2021;Bund 1.5% 15/05/24;1.5;1;15/05/2015;;06/10/2015;0.340000004;26/02/2021;;0;0;0
XS0993145084;USA;Corporate;8;0;AT&T;NS;poche_obligations;Obligations_credit;Obligations_credit;17/12/2021;17/09/2021;AT&T 2.65% 17/12/2021;2.65;1;17/12/2014;;08/12/2015;1.186100006;26/02/2021;;0;0;0
A10024;;;1;;;;Alternatif;private;private;;;;;;01/01/1950;;;;;;0;0;0
A10025;;;1;;;;Alternatif;private;private;;;;;;01/01/1950;;;;;;0;0;0
A10035;;;1;;;;Alternatif;private;private;;;;;;01/01/1950;;;;;;0;0;0
A10036;;;1;;;;Alternatif;private;private;;;;;;01/01/1950;;;;;;0;0;0
A10039;;;1;;;;Alternatif;private;private;;;;;;01/01/1950;;;;;;0;0;0
A10041;;;1;;;;Alternatif;private;private;;;;;;01/01/1950;;;;;;0;0;0
A10042;;;1;;;;Alternatif;private;private;;;;;;01/01/1950;;;;;;0;0;0
A10043;;;1;;;;Alternatif;private;private;;;;;;01/01/1950;;;;;;0;0;0
